Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
Men'S Adidas Running Helkin 3.0 Shoes,CJ8118,4599.0,2299.0,0.5,Adidas Core / Neo,2.2,54
Men'S Adidas Running Grito Shoes,CL7328,4799.0,2399.0,0.5,Adidas Core / Neo,3.5,79
Men'S Adidas Running Nepton 2.0 Shoes,CL7470,5599.0,2799.0,0.5,Adidas Core / Neo,4.0,5
Men'S Adidas Running Bound Shoes,CL7541,4999.0,2499.0,0.5,Adidas Core / Neo,3.8,96
Men'S Adidas Outdoor Terra Light Sandals,CL9928,3599.0,2159.0,0.4,Adidas Sport Performance,2.4,41
Men'S Adidas Swim Gladi 19 Slippers,CM0045,1599.0,959.0,0.4,Adidas Core / Neo,3.8,8
Men'S Adidas Running Torik Shoes,CL7599,4799.0,2399.0,0.5,Adidas Core / Neo,4.3,80
Men'S Adidas Toe Side Ii Slippers,CM0069,1299.0,779.0,0.4,Adidas Core / Neo,3.0,22
Men'S Adidas Sport Inspired Nebular 2 Shoes,CL7511,4999.0,2499.0,0.5,Adidas Core / Neo,4.0,94
Men'S Adidas Running Kollide Shoes,CL7552,4799.0,2399.0,0.5,Adidas Core / Neo,4.8,68
Men'S Adidas Sport Inspired Netpoint Shoes,EE9816,6599.0,3299.0,0.5,Adidas Core / Neo,4.4,3
Men'S Adidas Running Whizz Shoes,CL7545,5599.0,2799.0,0.5,Adidas Core / Neo,3.4,46
Women'S Adidas Originals Continental 80 Shoes,EE5060,8999.0,5399.0,0.4,Adidas Originals,3.5,50
Men'S Adidas Tennis Courtsmash Shoes,F36718,5599.0,3359.0,0.4,Adidas Core / Neo,3.0,75
Men'S Adidas Outdoor Terra Light Sandals,CL9927,3599.0,2159.0,0.4,Adidas Sport Performance,4.3,71
Men'S Adidas Running Sedna Shoes,CL7285,4299.0,2149.0,0.5,Adidas Core / Neo,1.0,48
Men'S Adidas Running Nepton 2.0 Shoes,CL7471,5599.0,2799.0,0.5,Adidas Core / Neo,3.8,36
Men'S Adidas Running Purebounce+ Street Shoes,B96360,7999.0,3999.0,0.5,Adidas Sport Performance,4.5,7
Women'S Adidas Originals Deerupt Runner Shoes,EE5778,8999.0,5399.0,0.4,Adidas Originals,2.6,69
Women'S Adidas Originals Sleek Super Shoes,EE4519,7999.0,4799.0,0.4,Adidas Originals,4.4,71
Women'S Adidas Originals Sleek Super Shoes,EE4504,7999.0,4799.0,0.4,Adidas Originals,2.0,65
Women'S Adidas Originals Taekwondo Team Shoes,EE4697,6599.0,3959.0,0.4,Adidas Originals,3.8,3
Men'S Adidas Swim Gladi 19 Slippers,CM0044,1599.0,959.0,0.4,Adidas Core / Neo,4.7,74
Women'S Adidas Originals Supercourt Shoes,EE6045,7999.0,4799.0,0.4,Adidas Originals,2.0,2
Women'S Adidas Originals Deerupt Runner Shoes,CG6091,9999.0,4999.0,0.5,Adidas Originals,3.7,84
Men'S Adidas Originals Boston Super X R1 Shoes,G27834,13999.0,6999.0,0.5,Adidas Originals,3.6,34
Men'S Adidas Running Torik Shoes,CL7598,4799.0,2399.0,0.5,Adidas Core / Neo,3.9,54
Women'S Adidas Originals Sleek Shoes,EE4709,7599.0,4559.0,0.4,Adidas Originals,2.8,49
Women'S Adidas Originals Marathon Tech Shoes,EE4948,11999.0,7199.0,0.4,Adidas Originals,4.9,35
Women'S Adidas Sport Inspired Court 80S Shoes,EE9671,6999.0,4199.0,0.4,Adidas Core / Neo,2.4,48
Women'S Adidas Originals Sambarose Shoes,EE7046,7999.0,4799.0,0.4,Adidas Originals,4.8,25
Women'S Adidas Sport Inspired Archivo Shoes,EF0451,4999.0,3499.0,0.3,Adidas Core / Neo,4.6,51
Women'S Adidas Originals U_Path X Shoes,EE4561,7599.0,4559.0,0.4,Adidas Originals,3.9,12
Men'S Adidas Running Torik Shoes,CL7601,4799.0,2399.0,0.5,Adidas Core / Neo,3.7,51
Men'S Adidas Running Grito Shoes,CL7330,4799.0,2399.0,0.5,Adidas Core / Neo,3.8,31
Women'S Adidas Sport Inspired Glenn W Shoes,CM6625,2499.0,1749.0,0.3,Adidas Core / Neo,4.8,41
Women'S Adidas Originals Sleek Shoes,FV3395,7599.0,5319.0,0.3,Adidas Originals,4.2,5
Women'S Adidas Originals Continental Vulc Shoes,EF9317,6599.0,3959.0,0.4,Adidas Originals,3.7,78
Women'S Originals Sleek Super Shoes,EF4954,7999.0,5599.0,0.3,Adidas Originals,2.2,96
Women'S Adidas Originals Sleek Shoes,EE7104,7599.0,4559.0,0.4,Adidas Originals,3.9,26
Women'S Adidas Originals Stan Smith Shoes,FV4070,7999.0,5599.0,0.3,Adidas Originals,3.3,53
Women'S Adidas Originals Continental 80 Shoes,FV3918,8999.0,6299.0,0.3,Adidas Originals,4.3,78
Women'S Adidas Originals Adilette Slides,EE5055,4999.0,2999.0,0.4,Adidas Originals,2.0,90
Women'S Adidas Sport Inspired Glenn W Shoes,CM6626,2499.0,1749.0,0.3,Adidas Core / Neo,4.8,96
